Frame,A_x,A_y,A_Diameter,B_x,B_y,B_Diameter,C_x,C_y,C_Diameter,D_x,D_y,D_Diameter
1,1024.0,880.0,58.0,1374.0,336.0,30.0,838.0,274.0,20.0,532.0,466.0,48.0
2,1088.0,782.0,58.0,1338.0,328.0,20.0,816.0,278.0,18.0,556.0,496.0,34.0
3,1144.0,716.0,56.0,1298.0,320.0,20.0,788.0,284.0,18.0,574.0,514.0,58.0
4,1188.0,666.0,58.0,1256.0,312.0,24.0,760.0,290.0,20.0,600.0,544.0,58.0
5,1224.0,614.0,44.0,1222.0,306.0,20.0,728.0,298.0,18.0,630.0,580.0,58.0
6,1262.0,576.0,44.0,1190.0,298.0,20.0,698.0,306.0,18.0,664.0,622.0,58.0
7,1292.0,542.0,40.0,1158.0,290.0,20.0,664.0,312.0,24.0,706.0,670.0,58.0
8,1316.0,510.0,38.0,1132.0,284.0,18.0,622.0,320.0,20.0,760.0,724.0,54.0
9,1334.0,476.0,50.0,1104.0,278.0,18.0,588.0,326.0,30.0,812.0,798.0,58.0
10,1354.0,468.0,48.0,1078.0,272.0,16.0,538.0,348.0,40.0,890.0,862.0,58.0
11,928.0,770.0,58.0,1362.0,348.0,36.0,860.0,280.0,20.0,602.0,442.0,40.0
12,998.0,708.0,54.0,1322.0,342.0,24.0,836.0,286.0,22.0,626.0,460.0,44.0
13,1054.0,654.0,50.0,1280.0,332.0,24.0,808.0,294.0,20.0,650.0,492.0,42.0
14,1104.0,606.0,48.0,1240.0,322.0,28.0,780.0,298.0,24.0,680.0,512.0,44.0
15,1144.0,566.0,48.0,1206.0,316.0,22.0,746.0,308.0,22.0,714.0,540.0,44.0
16,1180.0,536.0,40.0,1172.0,306.0,22.0,714.0,314.0,22.0,750.0,576.0,42.0
17,1210.0,504.0,38.0,1140.0,300.0,20.0,678.0,324.0,22.0,796.0,614.0,46.0
18,1238.0,480.0,36.0,1112.0,294.0,20.0,638.0,332.0,22.0,846.0,658.0,50.0
19,1260.0,458.0,32.0,1084.0,286.0,20.0,600.0,338.0,32.0,906.0,708.0,54.0
20,1282.0,432.0,42.0,1060.0,280.0,20.0,556.0,348.0,36.0,978.0,768.0,58.0
21,854.0,696.0,56.0,1348.0,362.0,38.0,882.0,288.0,20.0,668.0,424.0,28.0
22,924.0,644.0,50.0,1304.0,354.0,30.0,856.0,296.0,20.0,692.0,436.0,40.0
23,982.0,600.0,44.0,1264.0,344.0,24.0,828.0,302.0,22.0,718.0,460.0,34.0
24,1030.0,562.0,44.0,1224.0,336.0,24.0,798.0,310.0,20.0,748.0,482.0,34.0
25,1074.0,530.0,40.0,1186.0,324.0,26.0,766.0,318.0,22.0,784.0,506.0,36.0
